representatives,disbursement_amount
"Rep. Torres, Ritchie [D-NY-15]*",-2500
"Rep. Castro, Joaquin [D-TX-20]*",-2000
"Rep. Garcia, Sylvia R. [D-TX-29]*",-1000
"Rep. Sires, Albio [D-NJ-8]*",-1000
"Rep. Mfume, Kweisi [D-MD-7]",1000
"Rep. McCollum, Betty [D-MN-4]*",1000
"Rep. Luria, Elaine G. [D-VA-2]*",1000
"Rep. Larsen, Rick [D-WA-2]*",1000
"Rep. Williams, Nikema [D-GA-5]*",1000
"Rep. Adams, Alma S. [D-NC-12]*",1000
"Rep. Houlahan, Chrissy [D-PA-6]",1000
"Rep. Gonzalez, Vicente [D-TX-15]*",1000
"Rep. Gallego, Ruben [D-AZ-7]*",1000
"Rep. Frankel, Lois [D-FL-21]*",1000
"Rep. Foster, Bill [D-IL-11]*",1000
"Rep. Norcross, Donald [D-NJ-1]*",1000
"Rep. Huffman, Jared [D-CA-2]*",1000
"Rep. Perlmutter, Ed [D-CO-7]*",1000
"Rep. Pingree, Chellie [D-ME-1]*",1000
"Rep. Quigley, Mike [D-IL-5]*",1000
"Rep. Raskin, Jamie [D-MD-8]*",1000
"Rep. Ryan, Tim [D-OH-13]*",1000
"Rep. Sherman, Brad [D-CA-30]*",1000
"Rep. Smith, Adam [D-WA-9]*",1000
"Rep. Speier, Jackie [D-CA-14]*",1000
"Rep. Stevens, Haley M. [D-MI-11]*",1000
"Rep. Titus, Dina [D-NV-1]*",1000
"Rep. Vargas, Juan [D-CA-51]*",1000
"Rep. Welch, Peter [D-VT-At Large]*",1000
"Rep. Wexton, Jennifer [D-VA-10]",1000
"Rep. Espaillat, Adriano [D-NY-13]*",1000
"Rep. Escobar, Veronica [D-TX-16]*",1000
"Rep. Yarmuth, John A. [D-KY-3]*",1000
"Rep. Costa, Jim [D-CA-16]*",1000
"Rep. Demings, Val Butler [D-FL-10]*",1000
"Rep. Bishop, Sanford D., Jr. [D-GA-2]*",1000
"Rep. Brownley, Julia [D-CA-26]*",1000
"Rep. DeFazio, Peter A. [D-OR-4]*",1000
"Rep. Casten, Sean [D-IL-6]*",1000
"Rep. Carson, Andre [D-IN-7]*",1000
"Rep. Case, Ed [D-HI-1]",1000
"Rep. Napolitano, Grace F. [D-CA-32]*",1500
"Rep. Sherrill, Mikie [D-NJ-11]*",1500
"Rep. Meeks, Gregory W. [D-NY-5]*",2000
"Rep. Meng, Grace [D-NY-6]*",2000
"Rep. Moore, Gwen [D-WI-4]*",2000
"Rep. O'Halleran, Tom [D-AZ-1]*",2000
"Rep. Carbajal, Salud O. [D-CA-24]*",2000
"Rep. Rice, Kathleen M. [D-NY-4]",2000
"Rep. McNerney, Jerry [D-CA-9]*",2000
"Rep. Brown, Anthony G. [D-MD-4]*",2000
"Rep. Bonamici, Suzanne [D-OR-1]*",2000
"Rep. Torres, Norma J. [D-CA-35]*",2000
"Rep. Bass, Karen [D-CA-37]*",2000
"Rep. Waters, Maxine [D-CA-43]",2000
"Rep. Cartwright, Matt [D-PA-8]*",2000
"Rep. Maloney, Carolyn B. [D-NY-12]*",2000
"Rep. Krishnamoorthi, Raja [D-IL-8]*",2000
"Rep. Kilmer, Derek [D-WA-6]*",2000
"Rep. Fitzpatrick, Brian K. [R-PA-1]*",2000
"Rep. Kind, Ron [D-WI-3]*",2000
"Rep. Evans, Dwight [D-PA-3]*",2000
"Rep. Doggett, Lloyd [D-TX-35]*",2500
"Rep. Gomez, Jimmy [D-CA-34]*",2500
"Rep. DeLauro, Rosa L. [D-CT-3]*",2500
"Rep. Panetta, Jimmy [D-CA-20]*",2500
"Rep. Davis, Danny K. [D-IL-7]*",2500
"Rep. Sewell, Terri A. [D-AL-7]*",2500
"Rep. Boyle, Brendan F. [D-PA-2]*",2500
"Rep. Beatty, Joyce [D-OH-3]*",3000
"Rep. Connolly, Gerald E. [D-VA-11]*",3000
"Rep. Neguse, Joe [D-CO-2]*",3000
"Rep. Clarke, Yvette D. [D-NY-9]*",3000
"Rep. Lee, Barbara [D-CA-13]*",3000
"Rep. Thompson, Mike [D-CA-5]*",3000
"Rep. Gottheimer, Josh [D-NJ-5]*",3000
"Rep. Kuster, Ann M. [D-NH-2]*",3000
"Rep. Thompson, Bennie G. [D-MS-2]*",3000
"Rep. Soto, Darren [D-FL-9]*",3500
"Rep. DeGette, Diana [D-CO-1]*",3500
"Rep. Higgins, Brian [D-NY-26]*",3500
"Rep. Horsford, Steven [D-NV-4]*",3500
"Rep. Craig, Angie [D-MN-2]*",3500
"Rep. Chu, Judy [D-CA-27]*",3500
"Rep. Schiff, Adam B. [D-CA-28]*",4000
"Rep. Barragan, Nanette Diaz [D-CA-44]*",4000
"Rep. Kelly, Robin L. [D-IL-2]*",4000
"Rep. Veasey, Marc A. [D-TX-33]*",4000
"Rep. Dingell, Debbie [D-MI-12]*",4000
"Rep. Castor, Kathy [D-FL-14]*",4000
"Rep. Tonko, Paul [D-NY-20]*",4500
"Rep. Larson, John B. [D-CT-1]*",4500
"Rep. DelBene, Suzan K. [D-WA-1]",5000
"Rep. Aguilar, Pete [D-CA-31]*",5000
"Rep. Stanton, Greg [D-AZ-9]*",5000
"Rep. Lieu, Ted [D-CA-33]*",5000
"Rep. Hoyer, Steny H. [D-MD-5]*",5000
"Rep. Nadler, Jerrold [D-NY-10]*",5000
"Rep. Clark, Katherine M. [D-MA-5]*",5000
"Rep. Matsui, Doris O. [D-CA-6]*",5000
"Rep. Clyburn, James E. [D-SC-6]",5000
"Rep. Swalwell, Eric [D-CA-15]*",5000
"Rep. Ruiz, Raul [D-CA-36]*",5500
"Rep. Neal, Richard E. [D-MA-1]",7500
"Rep. Lofgren, Zoe [D-CA-19]",10000
"Rep. Eshoo, Anna G. [D-CA-18]*",10000
